Date,Close,Open,High,Low,Vol.
"Jul 26, 2021","38,233.20","35,392.30","39,639.90","35,236.70",161.68K
"Jul 25, 2021","35,391.10","34,392.50","35,391.10","33,881.30",65.10K
"Jul 24, 2021","33,824.80","33,600.50","33,955.00","33,412.90",67.14K
"Jul 23, 2021","33,603.30","32,297.90","33,605.60","32,041.10",66.15K
"Jul 22, 2021","32,298.90","32,131.70","32,585.40","31,729.40",64.87K
"Jul 21, 2021","32,131.40","29,794.70","32,794.60","29,519.30",118.34K
"Jul 20, 2021","29,793.80","30,835.40","31,040.80","29,310.20",97.46K
"Jul 19, 2021","30,837.20","31,782.90","31,887.00","30,478.20",77.48K
"Jul 18, 2021","31,785.40","31,517.90","32,408.20","31,220.60",57.01K
"Jul 17, 2021","31,518.60","31,384.40","31,914.80","31,207.80",58.06K
"Jul 16, 2021","31,394.00","31,842.30","32,239.80","31,062.20",70.48K
"Jul 15, 2021","31,840.50","32,820.50","33,157.00","31,175.80",76.95K
"Jul 14, 2021","32,820.70","32,727.80","33,051.90","31,611.20",69.56K
"Jul 13, 2021","32,728.10","33,106.10","33,307.70","32,259.50",60.04K
"Jul 12, 2021","33,113.00","34,228.30","34,598.00","32,662.80",63.24K
"Jul 11, 2021","34,227.70","33,510.80","34,580.60","33,319.80",35.72K
"Jul 10, 2021","33,510.60","33,797.70","34,221.00","33,056.80",50.94K
"Jul 09, 2021","33,797.40","32,866.30","34,079.20","32,367.00",67.14K
"Jul 08, 2021","32,866.30","33,859.40","33,923.20","32,146.90",108.09K
"Jul 07, 2021","33,867.80","34,228.70","35,036.60","33,801.30",72.03K
"Jul 06, 2021","34,225.60","33,688.50","35,062.00","33,581.70",83.63K
"Jul 05, 2021","33,687.80","35,297.00","35,300.50","33,164.10",88.36K
"Jul 04, 2021","35,298.20","34,742.80","35,957.60","34,740.10",56.13K
"Jul 03, 2021","34,742.80","33,814.20","34,909.80","33,363.30",55.69K
"Jul 02, 2021","33,813.40","33,542.20","33,925.90","32,734.60",78.93K
"Jul 01, 2021","33,543.60","35,030.70","35,032.70","32,839.20",27.41K
"Jun 30, 2021","35,026.90","35,832.60","36,089.50","34,126.60",107.07K
"Jun 29, 2021","35,834.70","34,477.30","36,590.30","34,247.60",97.27K
"Jun 28, 2021","34,475.90","34,682.20","35,231.20","33,944.90",112.00K
"Jun 27, 2021","34,678.50","32,247.10","34,685.50","32,041.70",148.80K
"Jun 26, 2021","32,243.40","31,592.10","32,643.00","30,206.90",156.67K
"Jun 25, 2021","31,594.00","34,660.50","35,490.90","31,337.90",193.43K
"Jun 24, 2021","34,665.80","33,678.10","35,249.90","32,356.70",119.25K
"Jun 23, 2021","33,674.30","32,498.30","34,784.30","31,736.50",173.34K
"Jun 22, 2021","32,496.40","31,682.70","33,272.50","28,901.80",309.65K
"Jun 21, 2021","31,692.00","35,597.90","35,708.40","31,284.10",256.87K
"Jun 20, 2021","35,595.80","35,510.90","36,097.90","33,378.00",137.48K
"Jun 19, 2021","35,513.40","35,770.00","36,357.30","34,845.50",105.46K
"Jun 18, 2021","35,749.40","38,045.50","38,166.00","35,198.50",102.84K
"Jun 17, 2021","38,052.00","38,337.80","39,529.90","37,425.30",109.58K
"Jun 16, 2021","38,336.00","40,148.10","40,494.40","38,156.40",123.52K
"Jun 15, 2021","40,156.10","40,522.50","41,318.00","39,589.90",117.55K
"Jun 14, 2021","40,529.40","39,024.10","40,970.40","38,769.90",157.35K
"Jun 13, 2021","39,022.90","35,467.50","39,321.60","34,827.00",123.32K
"Jun 12, 2021","35,467.50","37,334.40","37,437.30","34,703.30",87.73K
"Jun 11, 2021","37,314.60","36,654.30","37,641.10","36,003.30",109.15K
"Jun 10, 2021","36,649.40","37,375.20","38,340.80","35,824.00",154.32K
"Jun 09, 2021","37,332.20","33,385.50","37,517.60","32,428.60",209.82K
"Jun 08, 2021","33,382.90","33,574.60","34,047.80","31,158.10",193.54K
"Jun 07, 2021","33,578.00","35,815.40","36,754.60","33,410.10",119.50K
"Jun 06, 2021","35,815.40","35,518.70","36,434.00","35,265.30",62.20K
"Jun 05, 2021","35,520.00","36,841.20","37,887.60","34,832.00",101.48K
"Jun 04, 2021","36,851.30","39,191.40","39,255.40","35,659.90",127.71K
"Jun 03, 2021","39,187.30","37,555.70","39,462.30","37,193.60",106.44K
"Jun 02, 2021","37,555.80","36,687.70","38,199.90","35,981.10",96.89K
"Jun 01, 2021","36,687.60","37,294.30","37,850.30","35,742.70",113.48K
"May 31, 2021","37,298.60","35,644.00","37,480.70","34,213.20",131.70K
"May 30, 2021","35,652.80","34,589.30","36,388.60","33,441.00",104.18K
"May 29, 2021","34,584.60","35,664.50","37,227.10","33,664.20",160.43K
"May 28, 2021","35,662.50","38,543.20","38,844.10","34,772.40",199.58K
"May 27, 2021","38,417.30","39,249.00","40,322.20","37,190.80",122.93K
"May 26, 2021","39,249.20","38,375.70","40,750.00","37,847.00",153.80K
"May 25, 2021","38,378.30","38,753.60","39,740.80","36,540.70",163.01K
"May 24, 2021","38,750.60","34,720.30","39,851.70","34,474.60",244.88K
"May 23, 2021","34,679.70","37,446.80","38,248.70","31,192.40",325.73K
"May 22, 2021","37,448.30","37,291.00","38,776.00","35,314.90",185.83K
"May 21, 2021","37,297.40","40,611.20","42,108.30","33,592.30",315.50K
"May 20, 2021","40,717.20","36,706.80","42,425.90","35,010.40",269.75K
"May 19, 2021","36,720.50","42,898.30","43,516.60","30,261.70",607.10K
"May 18, 2021","42,897.30","43,538.50","45,770.90","42,293.90",154.96K
"May 17, 2021","43,541.30","46,424.20","46,545.40","42,201.50",274.76K
"May 16, 2021","46,426.40","46,729.30","49,764.30","43,920.80",180.07K
"May 15, 2021","46,708.80","49,839.10","50,640.90","46,650.20",131.91K
"May 14, 2021","49,839.80","49,704.90","51,459.20","48,874.00",118.84K
"May 13, 2021","49,704.60","49,398.20","51,337.30","46,331.10",236.71K
"May 12, 2021","49,384.20","56,694.50","57,938.50","49,187.00",160.74K
"May 11, 2021","56,695.70","55,846.10","56,871.10","54,550.40",96.47K
"May 10, 2021","55,848.90","58,251.20","59,523.90","53,678.30",142.61K
"May 09, 2021","58,238.30","58,840.60","59,227.00","56,414.40",103.59K
"May 08, 2021","58,840.10","57,330.30","59,471.10","56,972.20",101.27K
"May 07, 2021","57,337.20","56,411.40","58,639.30","55,300.10",110.01K
"May 06, 2021","56,405.40","57,441.00","58,364.90","55,294.50",109.02K
"May 05, 2021","57,441.30","53,872.50","57,936.40","53,872.50",119.82K
"May 04, 2021","53,741.50","57,170.60","57,201.30","53,741.50",132.33K
"May 03, 2021","57,169.80","56,605.80","58,925.10","56,562.40",89.24K
"May 02, 2021","56,603.80","57,807.20","57,868.40","56,110.50",53.61K
"May 01, 2021","57,807.10","57,719.10","58,449.40","57,029.50",63.41K
"Apr 30, 2021","57,720.30","53,562.30","57,925.60","53,088.70",103.74K
"Apr 29, 2021","53,560.80","54,838.60","55,173.70","52,400.00",83.90K
"Apr 28, 2021","54,841.40","55,036.00","56,419.90","53,876.40",86.96K
"Apr 27, 2021","55,036.50","54,011.10","55,427.80","53,345.00",84.08K
"Apr 26, 2021","54,020.50","48,963.50","54,320.90","48,815.90",129.76K
"Apr 25, 2021","48,963.60","50,088.20","50,532.40","47,098.50",59.20K
"Apr 24, 2021","50,088.90","51,140.80","51,183.00","48,775.20",82.25K
"Apr 23, 2021","51,143.60","51,707.10","52,099.90","47,659.40",214.46K
"Apr 22, 2021","51,729.50","53,821.30","55,408.40","50,590.90",168.13K
"Apr 21, 2021","53,820.20","56,479.50","56,764.40","53,657.60",100.26K
"Apr 20, 2021","56,483.20","55,645.10","57,054.90","53,422.50",115.49K
"Apr 19, 2021","55,646.10","56,208.10","57,517.00","54,272.30",117.51K
"Apr 18, 2021","56,207.10","60,043.20","60,362.10","51,817.60",216.81K
"Apr 17, 2021","60,041.90","61,358.30","62,509.10","59,672.10",84.08K
"Apr 16, 2021","61,379.70","63,211.60","63,518.50","60,027.30",136.85K
"Apr 15, 2021","63,216.00","62,978.60","63,729.10","62,067.50",76.97K
"Apr 14, 2021","62,980.40","63,544.20","64,778.00","61,366.30",130.43K
"Apr 13, 2021","63,540.90","59,863.60","63,659.00","59,839.40",126.56K
"Apr 12, 2021","59,863.80","59,982.10","61,259.90","59,569.20",81.88K
"Apr 11, 2021","59,978.70","59,772.40","60,667.10","59,250.30",58.20K
"Apr 10, 2021","59,748.40","58,127.40","61,229.00","57,900.00",103.72K
"Apr 09, 2021","58,118.70","58,076.80","58,890.90","57,686.00",59.22K
"Apr 08, 2021","58,077.40","55,948.00","58,136.70","55,721.60",64.78K
"Apr 07, 2021","55,948.70","57,996.30","58,627.70","55,489.30",110.69K
"Apr 06, 2021","57,996.30","59,169.00","59,487.00","57,403.30",77.15K
"Apr 05, 2021","58,993.40","58,202.30","59,205.10","56,842.70",54.13K
"Apr 04, 2021","58,199.90","57,059.70","58,464.80","56,470.60",57.21K
"Apr 03, 2021","57,059.90","58,976.80","59,770.50","56,906.70",68.74K
"Apr 02, 2021","58,977.30","58,718.20","60,134.90","58,466.50",72.37K
"Apr 01, 2021","58,718.30","58,763.20","59,406.50","58,040.70",69.04K
"Mar 31, 2021","58,763.70","58,771.40","59,795.60","56,991.60",98.06K
"Mar 30, 2021","58,771.30","57,614.60","59,366.90","57,077.10",86.21K
"Mar 29, 2021","57,616.20","55,764.70","58,392.60","54,951.10",107.91K
"Mar 28, 2021","55,765.20","55,856.90","56,504.20","54,711.30",58.71K
"Mar 27, 2021","55,862.90","55,033.80","56,531.10","54,010.20",73.87K
"Mar 26, 2021","55,036.10","51,317.40","55,074.10","51,302.00",100.30K
"Mar 25, 2021","51,322.30","52,330.00","53,175.40","50,441.30",143.35K
"Mar 24, 2021","52,325.40","54,309.10","57,169.40","51,725.40",137.91K
"Mar 23, 2021","54,452.50","54,117.50","55,813.80","52,992.30",84.84K
"Mar 22, 2021","54,158.30","57,379.30","58,379.90","53,784.20",95.53K
"Mar 21, 2021","57,383.80","58,097.40","58,583.80","55,583.30",77.47K
"Mar 20, 2021","58,093.40","58,084.10","59,882.10","57,863.00",67.83K
"Mar 19, 2021","58,088.00","57,645.00","59,448.30","56,305.10",83.98K
"Mar 18, 2021","57,656.00","58,911.80","60,088.00","57,099.60",102.62K
"Mar 17, 2021","58,913.50","56,892.90","58,933.20","54,253.20",118.26K
"Mar 16, 2021","56,889.70","55,619.50","56,889.70","53,342.60",128.51K
"Mar 15, 2021","55,791.30","59,117.40","60,565.90","55,088.80",117.71K
"Mar 14, 2021","59,113.70","61,192.70","61,673.70","59,113.70",80.29K
"Mar 13, 2021","61,195.30","57,267.40","61,795.80","56,118.80",134.64K
"Mar 12, 2021","57,265.10","57,806.20","58,052.30","55,134.50",116.96K
"Mar 11, 2021","57,799.50","55,851.20","58,135.00","54,351.80",129.63K
"Mar 10, 2021","55,851.90","54,882.70","57,328.70","53,073.60",140.96K
"Mar 09, 2021","54,879.00","52,352.40","54,880.60","51,941.30",114.06K
"Mar 08, 2021","52,311.00","50,988.90","52,384.90","49,338.10",68.14K
"Mar 07, 2021","50,982.30","48,899.00","51,434.10","48,890.60",82.91K
"Mar 06, 2021","48,855.60","48,798.70","49,191.80","47,132.80",66.66K
"Mar 05, 2021","48,792.50","48,363.60","49,429.40","46,370.10",113.64K
"Mar 04, 2021","48,428.00","50,388.00","51,757.70","47,521.80",9.56K
"Mar 03, 2021","50,395.10","48,422.20","52,567.90","48,159.20",44.93K
"Mar 02, 2021","48,424.20","49,595.60","50,191.90","47,100.60",102.10K
"Mar 01, 2021","49,595.50","45,160.50","49,774.00","45,008.80",137.52K
"Feb 28, 2021","45,164.00","46,136.00","46,582.00","43,100.60",135.08K
"Feb 27, 2021","46,136.70","46,333.10","48,335.10","45,059.40",98.75K
"Feb 26, 2021","46,345.60","46,928.50","48,413.90","44,248.20",189.41K
"Feb 25, 2021","46,928.50","49,695.90","52,013.80","46,773.70",83.22K
"Feb 24, 2021","49,697.50","48,911.10","51,311.80","47,031.70",153.75K
"Feb 23, 2021","48,911.20","54,114.10","54,115.00","45,093.80",315.07K
"Feb 22, 2021","54,111.80","57,437.60","57,480.80","48,353.80",244.95K
"Feb 21, 2021","57,433.80","55,907.60","58,335.10","55,502.70",87.26K
"Feb 20, 2021","55,923.70","55,922.00","57,523.80","54,124.10",127.85K
"Feb 19, 2021","55,906.60","51,590.10","56,238.50","50,816.80",139.43K
"Feb 18, 2021","51,582.20","52,094.50","52,524.00","50,941.60",94.35K
"Feb 17, 2021","52,079.20","49,161.30","52,577.70","49,018.10",140.03K
"Feb 16, 2021","49,169.70","47,934.20","50,515.80","47,044.40",141.37K
"Feb 15, 2021","47,936.30","48,611.10","48,936.50","45,786.10",123.18K
"Feb 14, 2021","48,643.40","47,172.10","49,695.10","47,051.90",106.50K
"Feb 13, 2021","47,168.70","47,373.10","48,097.30","46,270.50",89.42K
"Feb 12, 2021","47,371.70","47,995.00","48,927.40","46,218.60",133.73K
"Feb 11, 2021","47,990.70","44,834.80","48,622.10","44,041.10",145.77K
"Feb 10, 2021","44,836.00","46,507.80","47,295.30","43,800.50",151.83K
"Feb 09, 2021","46,508.60","46,396.40","48,143.50","45,104.70",193.87K
"Feb 08, 2021","46,395.70","38,853.60","46,596.40","38,057.00",248.47K
"Feb 07, 2021","38,852.90","39,228.90","39,691.70","37,381.60",125.37K
"Feb 06, 2021","39,256.60","38,300.60","40,939.70","38,275.30",156.02K
"Feb 05, 2021","38,297.60","36,976.40","38,303.60","36,640.00",100.60K
"Feb 04, 2021","36,982.10","37,648.90","38,707.90","36,380.80",151.44K
"Feb 03, 2021","37,646.80","35,486.90","37,646.80","35,401.50",131.03K
"Feb 02, 2021","35,485.20","33,514.00","35,976.10","33,462.40",120.85K
"Feb 01, 2021","33,515.70","33,106.80","34,685.60","32,324.90",126.32K
"Jan 31, 2021","33,108.10","34,281.60","34,348.30","32,189.90",101.92K
"Jan 30, 2021","34,283.10","34,300.00","34,920.90","32,908.50",128.57K
"Jan 29, 2021","34,301.80","33,381.70","38,546.00","31,953.30",297.73K
"Jan 28, 2021","33,374.80","30,408.90","33,790.80","29,911.90",167.39K
"Jan 27, 2021","30,404.00","32,499.60","32,545.40","29,290.40",194.35K
"Jan 26, 2021","32,502.10","32,244.10","32,917.70","30,850.00",139.84K
"Jan 25, 2021","32,252.30","32,244.30","34,854.30","31,967.40",142.43K
